Date,Open,High,Low,Close,Adj Close,Volume
2018-11-27,52.049999,52.879002,51.924500,52.220501,52.220501,36064000
2018-11-28,52.438000,54.341999,51.787998,54.311501,54.311501,49508000
2018-11-29,53.804001,54.712250,53.799999,54.415001,54.415001,29378000
2018-11-30,54.453499,54.778500,53.894001,54.721500,54.721500,51604000
2018-12-03,56.157001,56.232498,55.183250,55.321499,55.321499,39824000
2018-12-04,55.155998,55.221001,52.499001,52.541000,52.541000,46904000
2018-12-06,51.713001,53.560001,51.538502,53.436501,53.436501,55384000
2018-12-07,53.000500,53.763000,51.424999,51.828999,51.828999,42024000
2018-12-10,51.752499,52.422501,51.164501,51.977501,51.977501,36154000
2018-12-11,52.824501,53.029999,51.992001,52.587502,52.587502,27894000
2018-12-12,53.400002,54.082500,53.139500,53.183998,53.183998,30476000
2018-12-13,53.403500,53.987999,52.696499,53.095001,53.095001,26596000
2018-12-14,52.499001,53.130001,52.039501,52.105000,52.105000,33732000
2018-12-17,51.875500,52.657501,50.395000,50.826500,50.826500,47708000
2018-12-18,51.304501,52.473999,51.071999,51.435501,51.435501,43850000
2018-12-19,51.699501,53.099998,50.402500,51.150501,51.150501,49586000
2018-12-20,50.906502,51.710999,49.818001,50.470501,50.470501,53470000
2018-12-21,50.764999,51.201000,48.684502,48.977001,48.977001,91920000
2018-12-24,48.695000,50.176998,48.505501,48.811001,48.811001,31806000
2018-12-26,49.450500,52.000000,49.150002,51.973000,51.973000,47466000
2018-12-27,50.857498,52.194500,49.849998,52.194000,52.194000,42196000
2018-12-28,52.480999,52.778000,51.654999,51.854000,51.854000,28296000
2018-12-31,52.548000,52.634998,51.179501,51.780499,51.780499,29866000
2019-01-02,50.828499,52.616001,50.785500,52.292500,52.292500,30652000
2019-01-03,52.049999,52.848999,50.703499,50.803001,50.803001,36822000
2019-01-04,51.629501,53.542000,51.370899,53.535500,53.535500,41878000
2019-01-07,53.575001,53.700001,52.737999,53.419498,53.419498,39638000
2019-01-08,53.805500,54.228001,53.026501,53.813999,53.813999,35298000
2019-01-09,54.082500,54.131500,53.320000,53.733002,53.733002,23986000
2019-01-10,53.382999,53.557499,52.885502,53.516499,53.516499,29128000
2019-01-11,53.159000,53.188751,52.424000,52.859501,52.859501,30416000
2019-01-14,52.346001,52.576500,52.062752,52.234501,52.234501,22886000
2019-01-15,52.508499,54.002499,52.367001,53.857498,53.857498,29272000
2019-01-16,54.000000,54.618752,53.966999,54.048500,54.048500,26636000
2019-01-17,53.973499,54.590000,53.674999,54.494999,54.494999,24854000
2019-01-18,55.000000,55.417599,54.544998,54.912998,54.912998,39112000
2019-01-22,54.400002,54.575500,53.173500,53.526001,53.526001,32270000
2019-01-23,53.867500,54.246498,52.987499,53.778500,53.778500,19340000
2019-01-24,53.824001,53.973751,53.035000,53.695000,53.695000,27226000
2019-01-25,54.250000,54.700001,54.091000,54.549500,54.549500,22382000
2019-01-28,54.005501,54.150002,53.189999,53.504002,53.504002,25686000
2019-01-29,53.633999,53.757500,52.793251,53.030998,53.030998,20436000
2019-01-30,53.421501,54.549999,53.342499,54.452999,54.452999,25596000
2019-01-31,55.150002,55.866501,54.770500,55.818501,55.818501,30766000
2019-02-01,55.619999,56.250000,55.244499,55.537498,55.537498,29244000
2019-02-04,55.632999,56.639999,55.451000,56.639999,56.639999,51530000
2019-02-05,56.242001,57.342499,55.862400,57.299500,57.299500,71044000
2019-02-06,56.978500,57.349998,55.638500,55.761501,55.761501,42112000
2019-02-07,55.208000,55.242001,54.299999,54.935501,54.935501,40896000
2019-02-08,54.349998,54.945499,54.327499,54.752998,54.752998,21516000
2019-02-11,54.847500,55.297249,54.643002,54.750500,54.750500,21304000
2019-02-12,55.340000,56.264751,55.292500,56.068501,56.068501,32182000
2019-02-13,56.249500,56.736500,55.924999,56.007999,56.007999,20996000
2019-02-14,55.902500,56.411499,55.522251,56.083500,56.083500,18952000
2019-02-15,56.504002,56.583500,55.532501,55.682499,55.682499,28996000
2019-02-19,55.500000,56.094501,55.500000,55.928001,55.928001,20928000
2019-02-20,55.999500,56.170502,55.264000,55.689999,55.689999,21756000
2019-02-21,55.542000,55.597000,54.625999,54.848499,54.848499,28302000
2019-02-22,55.044998,55.562000,54.779999,55.518501,55.518501,20990000
2019-02-25,55.799999,55.926998,55.363499,55.470001,55.470001,28262000
2019-02-26,55.287498,55.975498,54.995998,55.756500,55.756500,29426000
2019-02-27,55.347500,55.898998,55.049999,55.802502,55.802502,19368000
2019-02-28,55.564999,56.382500,55.550499,55.995998,55.995998,30850000
2019-03-01,56.244999,57.148499,56.237499,57.049500,57.049500,29006000
2019-03-04,57.349499,57.914001,56.534500,57.389999,57.389999,28920000
2019-03-05,57.502998,58.480499,57.309750,58.101501,58.101501,28864000
2019-03-06,58.124500,58.378300,57.774502,57.893002,57.893002,21986000
2019-03-07,57.785999,57.837749,56.745499,57.165001,57.165001,23332000
2019-03-08,56.336498,57.354000,56.165001,57.116001,57.116001,24248000
2019-03-11,57.222500,58.809502,57.222500,58.787998,58.787998,34384000
2019-03-12,58.912998,60.000000,58.912998,59.660000,59.660000,40262000
2019-03-13,60.032249,60.046501,59.597000,59.666000,59.666000,28718000
2019-03-14,59.725498,59.894001,59.223999,59.277500,59.277500,23456000
2019-03-15,59.668999,59.828499,59.130501,59.223000,59.223000,49236000
2019-03-18,59.165001,59.500000,58.871052,59.213001,59.213001,25852000
2019-03-19,59.440498,60.000000,59.293499,59.942501,59.942501,30414000
2019-03-20,59.867500,61.356998,59.808498,61.198502,61.198502,44548000
2019-03-21,60.799999,61.589500,60.657501,61.577000,61.577000,24080000
2019-03-22,61.316002,61.500000,60.141251,60.275002,60.275002,34284000
2019-03-25,59.846500,60.319901,59.352001,59.650002,59.650002,29936000
2019-03-26,59.926498,60.141499,58.835999,59.230999,59.230999,38024000
2019-03-27,59.275002,59.377949,57.968498,58.651001,58.651001,28004000
2019-03-28,58.577000,58.578251,57.971550,58.424500,58.424500,19234000
2019-03-29,58.744999,58.949501,58.144001,58.665501,58.665501,25398000
2019-04-01,59.205002,59.833000,59.099998,59.721500,59.721500,25050000
2019-04-02,59.765999,60.067501,59.285500,60.024502,60.024502,16558000
2019-04-03,60.374001,60.814999,60.025002,60.296001,60.296001,20286000
2019-04-04,60.297001,60.783501,60.206501,60.750000,60.750000,19000000
2019-04-05,60.749500,60.811001,60.251499,60.357498,60.357498,18144000
2019-04-08,60.394501,60.434502,59.993000,60.192001,60.192001,17204000
2019-04-09,59.799999,60.114498,59.653999,59.862499,59.862499,17528000
2019-04-10,60.034000,60.189251,59.821751,60.108002,60.108002,14492000
2019-04-11,60.198002,60.397999,60.006500,60.230999,60.230999,14204000
2019-04-12,60.500000,60.917500,60.405499,60.893501,60.893501,18668000
2019-04-15,60.900002,61.209999,60.455502,61.055000,61.055000,23748000
2019-04-16,61.250000,61.541000,61.006001,61.356499,61.356499,17126000
2019-04-17,61.650002,62.028000,61.390999,61.817001,61.817001,24438000
2019-04-18,61.959000,62.099998,61.730499,61.818501,61.818501,26636000
2019-04-22,61.799500,62.454498,61.415501,62.442001,62.442001,16146000
2019-04-23,62.534500,63.450001,62.319000,63.227501,63.227501,26398000
2019-04-24,63.206001,63.400501,62.750000,62.799999,62.799999,20376000
2019-04-25,63.238499,63.370399,62.601501,63.172501,63.172501,22146000
2019-04-26,63.450001,63.653500,63.015999,63.609001,63.609001,24828000
2019-04-29,63.700001,64.463501,63.314751,64.378998,64.378998,49988000
2019-04-30,59.250000,59.640499,58.750000,59.424000,59.424000,124140000
2019-05-01,59.402500,59.402500,58.359001,58.403999,58.403999,52784000
2019-05-02,58.388000,58.709499,57.750099,58.130501,58.130501,38896000
2019-05-03,58.682499,59.340000,58.450001,59.270000,59.270000,39614000
2019-05-06,58.313000,59.542500,58.313000,59.469501,59.469501,31278000
2019-05-07,59.023499,59.521999,58.051998,58.705002,58.705002,31028000
2019-05-08,58.600498,59.021198,58.286999,58.313499,58.313499,26186000
2019-05-09,57.951500,58.483002,57.542500,58.118999,58.118999,23714000
2019-05-10,58.179501,58.630001,57.125000,58.213501,58.213501,26290000
2019-05-13,57.098000,57.396999,56.105499,56.601501,56.601501,37212000
2019-05-14,56.860500,57.021000,55.977501,56.021999,56.021999,36732000
2019-05-15,55.893501,58.566502,55.833302,58.210499,58.210499,45786000
2019-05-16,58.225498,59.408001,58.141998,58.949001,58.949001,30628000
2019-05-17,58.423500,59.007500,58.000500,58.115002,58.115002,24172000
2019-05-20,57.224998,57.339851,56.572151,56.942501,56.942501,27066000
2019-05-21,57.424500,57.635399,56.896999,57.481499,57.481499,23196000
2019-05-22,57.337502,57.925999,57.294498,57.570999,57.570999,18290000
2019-05-23,57.025002,57.298649,56.461201,57.038502,57.038502,23978000
2019-05-24,57.368000,57.488251,56.583000,56.673500,56.673500,22240000
2019-05-28,56.700001,57.579350,56.655998,56.707500,56.707500,27300000
2019-05-29,56.375999,56.455002,55.410999,55.823002,55.823002,30764000
2019-05-30,55.777000,56.156502,55.605999,55.897499,55.897499,19038000
2019-05-31,55.064499,55.480000,55.008999,55.181499,55.181499,30156000
2019-06-03,53.275002,53.275002,51.250000,51.811501,51.811501,102612000
2019-06-04,52.145000,52.802502,51.684502,52.652500,52.652500,56670000
2019-06-05,52.577000,52.677502,51.524502,52.111000,52.111000,43368000
2019-06-06,52.249500,52.374500,51.685001,52.216999,52.216999,34064000
2019-06-07,52.531502,53.546001,52.419998,53.301998,53.301998,36048000
2019-06-10,53.648998,54.632999,53.616100,54.019001,54.019001,29284000
2019-06-11,54.699001,55.099499,53.880150,53.936001,53.936001,28734000
2019-06-12,53.900002,54.046501,53.376999,53.851501,53.851501,21220000
2019-06-13,54.181999,54.708500,54.007500,54.438499,54.438499,21154000
2019-06-14,54.320999,54.634499,54.008598,54.267502,54.267502,22230000
2019-06-17,54.313999,54.959000,54.313999,54.625000,54.625000,18832000
2019-06-18,55.484501,55.819500,54.949501,55.180000,55.180000,27734000
2019-06-19,55.279999,55.349998,54.674000,55.116501,55.116501,26776000
2019-06-20,55.999500,56.006001,55.237000,55.570999,55.570999,25240000
2019-06-21,55.462002,56.205502,55.403999,56.094002,56.094002,38952000
2019-06-24,55.980499,56.099998,55.550499,55.776001,55.776001,27912000
2019-06-25,55.632999,55.717499,54.189999,54.317501,54.317501,30938000
2019-06-26,54.325001,54.648499,53.612000,53.990002,53.990002,36218000
2019-06-27,54.200001,54.355000,53.764500,53.800499,53.800499,20086000
2019-06-28,53.819500,54.049999,53.668499,54.045502,54.045502,33864000
2019-07-01,54.900002,55.379002,54.685150,54.897499,54.897499,28726000
2019-07-02,55.112000,55.588501,54.908501,55.562500,55.562500,19832000
2019-07-03,55.870499,56.338001,55.693001,56.078999,56.078999,15340000
2019-07-05,55.889999,56.644001,55.806999,56.579498,56.579498,25286000
2019-07-08,56.258499,56.299000,55.560501,55.817501,55.817501,24728000
2019-07-09,55.590000,56.401249,55.358501,56.241501,56.241501,26608000
2019-07-10,56.561001,57.102501,56.548500,57.023998,57.023998,24190000
2019-07-11,57.162498,57.653500,56.979000,57.210499,57.210499,23910000
2019-07-12,57.199501,57.367001,56.938999,57.244999,57.244999,17280000
2019-07-15,57.342999,57.541000,56.970001,57.516998,57.516998,18076000
2019-07-16,57.299999,57.929001,57.250000,57.679001,57.679001,24776000
2019-07-17,57.548500,57.917999,57.288502,57.317501,57.317501,23400000
2019-07-18,57.087002,57.380249,56.636501,57.316502,57.316502,25814000
2019-07-19,57.409500,57.556999,56.480999,56.505001,56.505001,32944000
2019-07-22,56.672501,56.962502,56.212002,56.903500,56.903500,26030000
2019-07-23,57.200001,57.345001,56.590000,57.310501,57.310501,21874000
2019-07-24,56.595001,57.200001,56.349499,56.890499,56.890499,31796000
2019-07-25,56.890999,57.084999,56.046001,56.605999,56.605999,44196000
2019-07-26,61.202000,63.277500,61.200001,62.520500,62.520500,96116000
2019-07-29,62.052502,62.368500,61.411499,61.970501,61.970501,44474000
2019-07-30,61.270500,61.743500,61.165001,61.257000,61.257000,29066000
2019-07-31,61.150002,61.700001,60.388199,60.834000,60.834000,34510000
2019-08-01,60.701500,61.705502,60.285999,60.450500,60.450500,33970000
2019-08-02,60.036999,60.345001,59.446999,59.699501,59.699501,32902000
2019-08-05,58.501999,58.762001,57.007000,57.616001,57.616001,51950000
2019-08-06,58.165501,58.998001,58.000000,58.497501,58.497501,34188000
2019-08-07,57.799999,58.922249,57.481201,58.699501,58.699501,28886000
2019-08-08,59.141499,60.250500,58.651001,60.240002,60.240002,29360000
2019-08-09,59.899502,60.194000,59.180149,59.400501,59.400501,21314000
2019-08-12,58.960499,59.248001,58.383598,58.735500,58.735500,20060000
2019-08-13,58.573002,60.238998,58.573002,59.863499,59.863499,25888000
2019-08-14,58.815498,59.115002,58.027000,58.214500,58.214500,31574000
2019-08-15,58.174999,58.792000,58.105499,58.362999,58.362999,24374000
2019-08-16,58.977501,59.136002,58.590500,58.880001,58.880001,26266000
2019-08-19,59.504501,60.349499,59.504501,59.922501,59.922501,24632000
2019-08-20,59.762501,59.803001,59.105499,59.134499,59.134499,18310000
2019-08-21,59.657501,59.950001,59.371498,59.562500,59.562500,14814000
2019-08-22,59.703499,59.900600,58.929001,59.476501,59.476501,18950000
2019-08-23,59.099499,59.703999,57.387501,57.564499,57.564499,33740000
2019-08-26,57.862999,58.473499,57.647999,58.444500,58.444500,24522000
2019-08-27,59.026501,59.119999,58.072498,58.391998,58.391998,21544000
2019-08-28,58.085499,58.820999,57.865002,58.550999,58.550999,16040000
2019-08-29,59.056000,59.803001,59.056000,59.642502,59.642502,21768000
2019-08-30,59.924999,59.924999,59.190151,59.404999,59.404999,22596000
2019-09-03,58.851501,59.344501,58.160000,58.419498,58.419498,29598000
2019-09-04,58.835499,59.174000,58.549999,59.070499,59.070499,21378000
2019-09-05,59.576500,60.652000,59.576500,60.569000,60.569000,28162000
2019-09-06,60.406502,60.600750,60.126099,60.246498,60.246498,21442000
2019-09-09,60.200001,61.000000,59.631001,60.220501,60.220501,29438000
2019-09-10,59.757500,60.500000,59.729000,60.299999,60.299999,25202000
2019-09-11,60.170502,61.130001,60.110001,61.008499,61.008499,26140000
